,total tweets,travel tweets,population,income
Pittwater,14230,1681,61.1,83666
Auburn,20546,1387,74.2,47987
Darebin - South,13636,1238,71.8,69498
Maroondah,12581,502,65.4,57223
Warrnambool,4518,321,62.3,50305
Central Highlands (Qld),798,44,67.1,72408
Mudgeeraba - Tallebudgera,2822,781,63.8,57875
Beenleigh,830,48,63.1,49777
Outback - South,2091,153,63.5,50206
Burnside,5660,630,61.3,84529
Port Adelaide - West,4452,462,67.3,53053
Perth City,82245,11914,73.8,86884
Canning,7645,281,68.3,59135
Kimberley,4338,383,68.7,63594
Darwin City,7741,516,78.0,81913
Orange,4054,260,61.6,58569
Moree - Narrabri,873,57,62.0,60000
Lake Macquarie - East,9051,564,61.6,59623
Tumut - Tumbarumba,713,64,59.6,52653
Hornsby,4474,230,65.8,66328
Manly,16551,2408,67.2,110223
Ryde - Hunters Hill,13951,1163,68.8,72931
Yarra,87621,7481,78.2,78428
Manningham - East,3389,161,64.6,76605
Wyndham,25288,628,67.5,55005
Chermside,7980,759,66.8,64330
Centenary,2126,127,65.0,67405
Broadbeach - Burleigh,23412,3114,66.2,58997
Nerang,5383,397,64.9,53144
Bribie - Beachmere,2717,177,51.9,48195
Buderim,2096,141,62.1,56872
Caloundra,5393,414,59.4,54403
Campbelltown (SA),2147,151,63.0,54085
Salisbury,4929,195,66.2,48245
Wanneroo,8040,283,67.1,62341
Serpentine - Jarrahdale,458,42,66.9,66974
Melville,5437,495,64.3,78795
Brighton,629,57,63.9,48880
Katherine,945,48,67.9,57115
Lachlan Valley,4044,129,58.3,49928
Clarence Valley,2022,193,57.7,44030
Richmond Valley - Coastal,27308,2457,61.5,49390
Southern Highlands,5479,562,57.0,60295
Bankstown,6820,330,64.8,52034
Strathfield - Burwood - Ashfield,17748,1122,72.8,64029
Upper Goulburn Valley,8274,981,60.6,47319
Port Phillip,86748,8839,76.5,86482
Stonnington - East,11485,631,67.8,101451
Casey - South,8781,289,67.0,51544
Monash,25043,797,67.5,58084
Shepparton,2353,82,62.5,48454
Mt Gravatt,5774,348,68.4,57139
Strathpine,2109,75,65.7,52341
Outback - North,2424,118,67.6,70391
Gawler - Two Wells,1262,51,64.2,52651
Yorke Peninsula,1035,106,55.0,47403
Stirling,10998,969,67.1,70467
Hobart Inner,18132,1092,68.4,65146
South East Coast,3150,322,56.4,41519
West Coast,1959,119,63.8,49981
Young - Yass,2466,150,60.2,58087
Upper Hunter,845,84,62.9,63933
Albury,6154,506,62.3,53848
Inverell - Tenterfield,1234,45,57.5,42854
Tweed Valley,9561,983,58.2,48949
Chatswood - Lane Cove,15215,1165,67.6,100054
Richmond - Windsor,3002,74,67.2,56663
Heathcote - Castlemaine - Kyneton,6560,413,61.3,52141
Barwon - West,1137,37,63.6,54356
Geelong,23242,942,64.8,55868
Carindale,3365,203,67.9,71475
Granite Belt,2616,208,58.3,42593
Coolangatta,13083,1604,63.9,55489
Forest Lake - Oxley,2379,123,67.8,51519
Springwood - Kingston,3093,135,64.8,50936
Augusta - Margaret River - Busselton,11796,1139,61.4,55601
