Name,Type,Title
slct_gov_pnsn_alwn_carer_alloance_num,Integer,Selected Government Pensions & Allowances Carer Allowance No.
slct_gov_pnsn_alwn_carer_payment_num,Integer,Selected Government Pensions & Allowances Carer Payment No.
slct_gov_pnsn_alwn_commonwealth_rent_asst_num,Integer,Selected Government Pensions & Allowances Commonwealth Rent Assistance No.
slct_gov_pnsn_alwn_dsblty_supp_pension_num,Integer,Selected Government Pensions & Allowances Disability Support Pension No.
slct_gov_pnsn_alwn_fam_tax_bft_b_num,Integer,Selected Government Pensions & Allowances Family Tax Benefit B No.
slct_gov_pnsn_alwn_fam_tax_bft_num,Integer,Selected Government Pensions & Allowances Family Tax Benefit A No.
slct_gov_pnsn_alwn_inc_supp_supplement_dva_num,Integer,Selected Government Pensions & Allowances Income Support Supplement - Dva No.
slct_gov_pnsn_alwn_newstart_alloance_num,Integer,Selected Government Pensions & Allowances Newstart Allowance No.
slct_gov_pnsn_alwn_pension_dva_num,Integer,Selected Government Pensions & Allowances Service Pension - Dva No.
slct_gov_pnsn_alwn_prnting_payment_prtred_num,Integer,Selected Government Pensions & Allowances Parenting Payment - Partnered No.
slct_gov_pnsn_alwn_prnting_payment_single_num,Integer,Selected Government Pensions & Allowances Parenting Payment - Single No.
slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,Integer,Selected Government Pensions & Allowances Youth Allowance (Full Time Students/Apprentices) No.
slct_gov_pnsn_alwn_yth_alloance_oth_num,Integer,Selected Government Pensions & Allowances Youth Allowance (Other) No.
tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,Double,Total Personal Income (Weekly) - Persons Over 15 Years Persons Earning $1000-$1999 Per Week %
tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,Double,Total Personal Income (Weekly) - Persons Over 15 Years Persons Earning $1-$499 Per Week %
tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,Double,Total Personal Income (Weekly) - Persons Over 15 Years Persons Earning $2000-$2999 Per Week %
tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,Double,Total Personal Income (Weekly) - Persons Over 15 Years Persons Earning $3000 Or More Per Week %
tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,Double,Total Personal Income (Weekly) - Persons Over 15 Years Persons Earning $500-$999 Per Week %
tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,Double,Total Personal Income (Weekly) - Persons Over 15 Years Persons Earning Nil Income %
tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,Double,Total Personal Income (Weekly) - Persons Over 15 Years Persons With A Negative Income %
